account_id,alert_id,customer_id,signup_date,alert_date,alert_type,alert_status
800000000057,c54d0cf7-f1eb-404c-920e-823825510cef,CUST-000601,2024-06-22,2025-01-23,Credit Inquiry,Resolved
800000000058,ddfb7ef0-b3df-4096-a861-a760ff01d260,CUST-000753,2024-02-16,2024-09-13,Dark Web Monitoring,Resolved
800000000059,1fbc5e03-f5e3-4fe9-8166-12f98fd2130e,CUST-000374,2024-11-29,2024-12-11,Credit Inquiry,Pending
800000000060,f9ea7fcd-416c-4769-a27f-3c7ad58df089,CUST-000806,2024-12-27,2025-06-21,Dark Web Monitoring,Resolved
800000000061,26654835-4487-4e2f-96fe-24c5f2d61de5,CUST-000757,2024-01-06,2024-01-31,Credit Inquiry,Acknowledged
800000000062,831eb617-e6d9-48d3-80df-72eeba9ea274,CUST-000970,2024-03-09,2025-05-08,Dark Web Monitoring,Resolved
800000000063,ef688878-32ab-4dc8-aa8f-fa0ddb06b08b,CUST-000283,2024-06-23,2025-04-08,Credit Inquiry,Acknowledged
800000000064,b410e20f-2e7f-4f33-a9c8-a70b25bd42dd,CUST-000900,2024-08-16,2024-10-16,Dark Web Monitoring,Pending
800000000065,6240a92d-982b-41da-a106-d90a107046aa,CUST-000622,2024-10-25,2025-03-01,Dark Web Monitoring,Pending
800000000066,b00c51b7-0339-4344-a5ea-a677758562e7,CUST-000807,2024-12-01,2025-04-27,Credit Inquiry,Resolved
800000000067,d07f6470-6d3a-4eeb-bfe9-42ee8b512bbe,CUST-000856,2024-12-30,2025-03-21,Dark Web Monitoring,Pending
800000000068,410400fb-a150-42ab-bfff-47bf7da140f8,CUST-000311,2024-02-07,2025-06-07,Data Breach,Pending
800000000069,c3bff1b2-dfea-4885-8e52-4d64c7753884,CUST-000324,2024-08-24,2025-05-05,Dark Web Monitoring,Acknowledged
800000000070,911f4052-d4b8-4033-a40b-4b207766992b,CUST-000245,2024-10-02,2025-03-27,Credit Inquiry,Acknowledged
800000000071,cca6395a-7504-483d-a210-57c141e30e3d,CUST-000381,2024-08-13,2025-03-17,Dark Web Monitoring,Acknowledged
800000000072,634ca487-8041-4527-af89-dc2a14aca651,CUST-000116,2024-12-22,2025-06-16,Dark Web Monitoring,Acknowledged
800000000073,eeb1c5e5-3a5d-4cb8-8bef-97ec8cb4fba3,CUST-000713,2024-05-04,2025-03-22,Dark Web Monitoring,Pending
800000000074,0a97af45-2954-44d0-830b-77c497b04968,CUST-000862,2024-02-01,2024-02-16,Dark Web Monitoring,Pending
800000000075,c30cce01-c6cc-44d1-a187-5ebb5f7f1219,CUST-000635,2024-01-14,2025-01-01,Dark Web Monitoring,Pending
800000000076,b53eaa69-e00a-43cc-b39a-03f6c5916f53,CUST-000016,2024-04-11,2025-03-04,Dark Web Monitoring,Resolved
800000000077,eb5c226c-38fe-4497-a4be-184a5a433d68,CUST-000978,2024-06-24,2024-06-25,Data Breach,Resolved
800000000078,74d864f1-1cd0-4590-9227-f71afaddd2d4,CUST-000248,2024-11-26,2025-04-14,Data Breach,Acknowledged
800000000079,fba34cba-bc27-43dc-88f1-69a695469652,CUST-000825,2024-03-06,2025-03-31,Data Breach,Acknowledged
800000000080,25499c83-2cd6-4aa6-8f73-eef722642e7d,CUST-000306,2024-08-17,2024-12-01,Dark Web Monitoring,Pending
800000000081,ee1a3ee8-d920-468a-9258-a2737892882b,CUST-000245,2024-10-02,2024-12-12,Dark Web Monitoring,Resolved
800000000082,74e42d1e-f533-4b8e-819c-645ed22a4b46,CUST-000856,2024-12-30,2025-01-09,Credit Inquiry,Resolved
800000000083,00f3785a-787d-41be-9015-29a2e26c42d2,CUST-000422,2024-07-31,2024-08-10,Dark Web Monitoring,Acknowledged
800000000084,e9dab268-176b-4731-8dc7-12f1129325b1,CUST-000311,2024-02-07,2025-03-09,Data Breach,Acknowledged
800000000085,08691ac8-cdbd-46f7-b8dc-faa474c3fd56,CUST-000564,2024-07-03,2024-09-23,Dark Web Monitoring,Resolved
800000000086,a6b47b7f-a960-45a1-a1ab-42d91e9c969c,CUST-000325,2024-10-18,2024-12-30,Dark Web Monitoring,Acknowledged
800000000087,9b2428f9-46c9-4121-b83f-0b904c7e612d,CUST-000374,2024-11-29,2025-04-17,Dark Web Monitoring,Acknowledged
800000000088,0731f0af-ad83-4ff0-8fce-5edd28cfee61,CUST-000324,2024-08-24,2025-02-18,Data Breach,Acknowledged
800000000089,6acd5861-a47b-4e8d-8baa-4685a73bc792,CUST-000726,2024-10-20,2025-03-11,Data Breach,Pending
800000000090,ec56ec37-2acf-4191-bfc9-fe1751d247be,CUST-000978,2024-06-24,2024-07-14,Dark Web Monitoring,Resolved
800000000091,a8ba85d0-d39e-49cf-97b8-e4d34cb978a2,CUST-000995,2024-02-21,2025-05-18,Dark Web Monitoring,Resolved
800000000092,2b9590d1-12df-41b8-8aa2-b82ed71210f0,CUST-000250,2024-05-06,2025-01-18,Dark Web Monitoring,Acknowledged
800000000093,f6d8c8c9-d350-4d06-b8fb-7bb8cee82640,CUST-000891,2024-01-20,2025-07-07,Data Breach,Resolved
800000000094,c5af7cf3-d11e-4213-8120-406aef2578cd,CUST-000876,2024-01-29,2024-06-12,Dark Web Monitoring,Acknowledged
800000000095,51c24cdb-459c-412d-9da1-8d90051824b1,CUST-000381,2024-08-13,2025-05-21,Dark Web Monitoring,Acknowledged
800000000096,77f0c985-5561-4ae7-b040-3416f7288734,CUST-000855,2024-09-10,2025-05-01,Dark Web Monitoring,Acknowledged
800000000097,5d263a69-676e-4dac-9678-f63e8173ad47,CUST-000045,2024-06-19,2024-07-02,Data Breach,Resolved
800000000098,593a7e4e-193d-4346-98d8-de4a699d5043,CUST-000115,2024-11-11,2025-07-05,Dark Web Monitoring,Pending
800000000099,8b021857-2a53-4b0e-a241-6107ed022494,CUST-000862,2024-02-01,2024-04-25,Data Breach,Resolved
800000000100,ad9de3af-f54f-4c94-8be4-1360ae0765ca,CUST-000201,2024-06-04,2025-06-02,Dark Web Monitoring,Acknowledged
800000000101,24fed4b9-25ae-4527-a7da-53bbf17150b0,CUST-000381,2024-08-13,2024-12-26,Dark Web Monitoring,Acknowledged
800000000102,440202a9-497e-48f9-ad4e-15188341bd10,CUST-000507,2024-12-17,2025-03-04,Dark Web Monitoring,Pending
800000000103,841659e9-a934-4e26-b2c2-02ec57ddabd1,CUST-000566,2024-03-19,2025-01-01,Dark Web Monitoring,Acknowledged
800000000104,9ede395f-6144-4bb8-90de-f71390cfc4cb,CUST-000008,2024-12-08,2025-04-13,Dark Web Monitoring,Resolved
800000000105,77ab7cdd-2fe0-4d15-b0e5-5846c9891fb6,CUST-000753,2024-02-16,2025-04-28,Dark Web Monitoring,Resolved
800000000106,fe22aa12-196f-4a18-9cab-74649edf8f7d,CUST-000466,2024-09-11,2025-06-20,Data Breach,Acknowledged
800000000107,9b83d141-774d-4bdc-9325-111664131426,CUST-000162,2024-10-14,2025-03-09,Credit Inquiry,Acknowledged
800000000108,f74a0f73-fe70-47d7-a57f-80dd6fb97f40,CUST-000928,2024-06-18,2024-10-24,Dark Web Monitoring,Acknowledged
800000000109,ae3ead7a-e7d0-4492-a407-322c4996621a,CUST-000618,2024-04-11,2024-08-03,Dark Web Monitoring,Pending
800000000110,c83502d8-317c-4f4d-af9f-acc24596dfd1,CUST-000273,2024-09-07,2025-02-15,Credit Inquiry,Resolved
800000000111,ed12b233-5b66-42d7-a01f-c7e25252c528,CUST-000754,2024-03-23,2024-05-25,Dark Web Monitoring,Pending
800000000112,20b9903b-4bd4-4fad-a21e-e9544596ea8b,CUST-000083,2024-04-06,2024-06-28,Data Breach,Resolved
800000000113,f729d5e2-56cb-4fc9-a98c-67e82ccd4035,CUST-000754,2024-03-23,2025-03-02,Dark Web Monitoring,Resolved
800000000114,900005c1-496c-4011-8d41-94b651104f07,CUST-000374,2024-11-29,2024-12-10,Dark Web Monitoring,Resolved
800000000115,06a138a1-8b92-4744-9c76-c49e8106899f,CUST-000709,2024-03-11,2025-05-26,Dark Web Monitoring,Pending
800000000116,3fb1574e-9f38-4c5a-8175-830a36691490,CUST-000199,2024-01-24,2025-03-24,Dark Web Monitoring,Acknowledged
800000000117,32661701-9c84-485d-82c1-afa575e6dd47,CUST-000322,2024-08-03,2025-02-09,Dark Web Monitoring,Pending
800000000118,80a7d8a7-fd0f-4c0e-a308-d887abce9aca,CUST-000812,2024-10-18,2025-01-20,Dark Web Monitoring,Resolved
800000000119,288c357f-aa27-4578-af81-ddc58294bf3f,CUST-000726,2024-10-20,2025-05-10,Dark Web Monitoring,Pending
800000000120,cba5fa17-b34d-4e42-a48a-3d860541b745,CUST-000942,2024-11-29,2025-06-22,Dark Web Monitoring,Acknowledged
800000000121,dfa50d2f-ab8a-42ca-9113-971088fe8f17,CUST-000340,2024-05-06,2024-05-12,Dark Web Monitoring,Acknowledged
800000000122,d07514b0-b07a-44ec-b9d0-ff08ec98fdd8,CUST-000592,2024-02-09,2025-04-04,Dark Web Monitoring,Resolved
800000000123,72d5ad8e-25c4-4977-82f4-b7962fae9277,CUST-000693,2024-07-06,2025-06-11,Data Breach,Pending
800000000124,81f66fb5-2291-4d0d-9431-22b4db6a6b31,CUST-000374,2024-11-29,2024-12-28,Dark Web Monitoring,Resolved
800000000125,346cff90-09ef-4b66-a11e-b7f712005d8f,CUST-000508,2024-11-26,2025-06-15,Dark Web Monitoring,Pending
800000000126,09e08165-fb6a-4330-a754-2217d907a391,CUST-000655,2024-07-19,2024-08-17,Dark Web Monitoring,Acknowledged
800000000127,2c2a9d90-430b-4686-9d23-08a6386f1e88,CUST-000661,2024-08-09,2025-01-14,Data Breach,Acknowledged
800000000128,a2457abd-0201-4552-8c27-c99ba5922c1b,CUST-000490,2024-01-12,2025-05-11,Social Media Account Takeover,Resolved
800000000129,fe851d06-193d-412d-848b-196fc8ad02b8,CUST-000970,2024-03-09,2024-12-23,Credit Inquiry,Pending
800000000130,c4cfd67e-e742-4bf0-b34b-2f5a67a6857e,CUST-000115,2024-11-11,2024-11-23,Social Media Account Takeover,Resolved
800000000131,19ec847f-8963-497f-8e9e-234176dca478,CUST-000845,2024-11-16,2025-03-01,Dark Web Monitoring,Resolved
800000000132,4f7e3022-0a4f-4c7b-a1e9-6d538583d233,CUST-000375,2024-11-06,2025-04-12,Social Media Account Takeover,Resolved
800000000133,5aa42b2b-db87-4a73-af83-3fd530990e0c,CUST-000841,2024-09-30,2025-03-16,Dark Web Monitoring,Pending
800000000134,1522ecb7-355a-493c-b4c8-2a97fe7db236,CUST-000530,2024-05-09,2025-03-06,Credit Inquiry,Resolved
800000000135,e9e794e0-69fd-4301-a333-564dd0717703,CUST-000636,2024-06-21,2024-10-09,Data Breach,Resolved
800000000136,19ab445f-9e5f-4c0d-92cd-0b887a2c7103,CUST-000978,2024-06-24,2025-02-27,Data Breach,Acknowledged
800000000137,41816bbf-3e53-4d4a-8f21-1ffd3198744e,CUST-000049,2024-03-29,2024-08-21,Dark Web Monitoring,Acknowledged
800000000138,d2b94bc9-fe35-4428-96e4-6e1830635f9b,CUST-000462,2024-05-25,2025-03-06,Dark Web Monitoring,Resolved
800000000139,07863f88-8d36-4298-8f42-3cc2802a13fd,CUST-000083,2024-04-06,2024-05-23,Dark Web Monitoring,Acknowledged
800000000140,633a7c6e-18c5-45ec-9824-f8fa8f821a6d,CUST-000503,2024-07-31,2025-07-09,Dark Web Monitoring,Acknowledged
800000000141,37964319-4bef-4f5c-8468-8a8f5c25d2fd,CUST-000442,2024-09-05,2025-06-05,Social Media Account Takeover,Acknowledged
800000000142,19da6f68-3e1f-459d-9756-01110048274d,CUST-000107,2024-10-13,2024-12-18,Dark Web Monitoring,Acknowledged
800000000143,53e2c82e-1c93-46de-886b-14c4f172c60d,CUST-000983,2024-09-12,2025-05-24,Credit Inquiry,Resolved
800000000144,a6fac32b-6185-44c4-beb2-5f6ef3d7d79c,CUST-000850,2024-01-02,2025-03-08,Dark Web Monitoring,Resolved
800000000145,524a45ea-f757-47f3-8b72-548c47c9238e,CUST-000519,2024-09-23,2025-05-28,Dark Web Monitoring,Pending
800000000146,d2650977-d817-420e-9ff1-252d36938d20,CUST-000388,2024-11-13,2025-05-25,Dark Web Monitoring,Resolved
800000000147,52c36656-b01d-45a0-93ee-397fd03d2695,CUST-000770,2024-01-04,2025-02-18,Dark Web Monitoring,Pending
800000000148,1118054a-fca5-4ccc-986e-87cb9dc2a535,CUST-000382,2024-03-29,2024-11-20,Dark Web Monitoring,Acknowledged
800000000149,a33b282f-baf1-4660-811e-418a09e38ee3,CUST-000845,2024-11-16,2024-11-20,Dark Web Monitoring,Resolved
800000000150,9b052e4a-7408-407e-ad4d-2f40cc066eca,CUST-000139,2024-05-14,2025-02-10,Dark Web Monitoring,Acknowledged
800000000151,74a9f877-270d-4b4d-8316-508a70bbe1d1,CUST-000391,2024-01-26,2025-07-03,Dark Web Monitoring,Pending
800000000152,55e47205-e1be-4d8c-8ae9-e9e9eab17237,CUST-000222,2024-10-22,2025-02-05,Dark Web Monitoring,Resolved
800000000153,2e618dd0-67cb-457d-9b87-3c1eb12a1f9f,CUST-000862,2024-02-01,2024-07-31,Dark Web Monitoring,Resolved
800000000154,972362f0-7a87-426d-9347-376e1141f11b,CUST-000134,2024-05-07,2025-04-08,Dark Web Monitoring,Pending
800000000155,03ab85b1-13b6-4ff8-9375-affbb97702b4,CUST-000820,2024-09-05,2025-04-26,Dark Web Monitoring,Resolved
800000000156,a91b4157-4854-4d99-831b-2f24ae005c2f,CUST-000889,2024-07-19,2025-01-28,Dark Web Monitoring,Pending
800000000157,7fd928c8-79fc-454b-b312-b3029eae366b,CUST-000900,2024-08-16,2024-10-31,Credit Inquiry,Acknowledged
800000000158,7764c747-d8b9-49c7-a14c-50edaaa1df43,CUST-000727,2024-11-16,2025-05-20,Dark Web Monitoring,Resolved
800000000159,a8da21ed-4641-4cb6-abd2-9a3b5c69c9f4,CUST-000162,2024-10-14,2024-10-16,Dark Web Monitoring,Pending
800000000160,f6b55f17-ed40-4593-9a41-0f9449809a44,CUST-000116,2024-12-22,2025-01-17,Data Breach,Acknowledged
800000000161,ef207436-390a-4fd0-a75c-e2ce227eb901,CUST-000222,2024-10-22,2025-05-19,Dark Web Monitoring,Acknowledged
800000000162,aad08020-4d5b-46f3-819c-62fbadbdf1c5,CUST-000200,2024-03-26,2025-05-22,Credit Inquiry,Pending
800000000163,5c87e638-7848-4e44-a935-9ec8bd8c91e6,CUST-000159,2024-07-13,2024-09-07,Dark Web Monitoring,Pending
800000000164,640103a7-b8c2-4ed4-9e71-0e17f43de44f,CUST-000631,2024-02-11,2024-06-17,Credit Inquiry,Acknowledged
800000000165,1eb913e1-8de8-43d6-bc8d-98eaece5dad3,CUST-000289,2024-06-17,2025-03-27,Dark Web Monitoring,Pending
800000000166,0cb2ee0d-29be-4abe-8681-942cb017bc4d,CUST-000133,2024-05-24,2024-08-12,Credit Inquiry,Acknowledged
800000000167,c6503d96-0d3f-403f-80d5-2de5786dfed8,CUST-000103,2024-10-24,2025-03-05,Credit Inquiry,Pending
800000000168,71045f19-3a4b-4fd8-874c-e23a58623995,CUST-000083,2024-04-06,2025-02-21,Dark Web Monitoring,Pending
800000000169,551e6566-99ff-4356-ba75-95092150327c,CUST-000410,2024-02-21,2024-12-17,Dark Web Monitoring,Acknowledged
800000000170,84b21b9b-4447-48d7-8f82-31f6c7f514ea,CUST-000773,2024-01-05,2024-03-17,Dark Web Monitoring,Pending
800000000171,460ab658-b5e6-4bc9-b223-e2ffec04c820,CUST-000300,2024-02-27,2025-03-11,Dark Web Monitoring,Resolved
800000000172,c7892ed6-1789-426e-90b1-31fff39d2fcb,CUST-000311,2024-02-07,2024-08-09,Dark Web Monitoring,Acknowledged
800000000173,36efc270-8f98-4cd6-8c58-3e47bd160cef,CUST-000709,2024-03-11,2024-09-11,Dark Web Monitoring,Resolved
800000000174,a56d710c-4be5-414c-9fda-553472936883,CUST-000541,2024-10-18,2025-06-27,Credit Inquiry,Acknowledged
800000000175,4f3c2593-5841-4b6e-829b-908f4c0783ee,CUST-000573,2024-07-03,2024-07-17,Dark Web Monitoring,Resolved
800000000176,40128a0c-9b80-4dc6-95dd-1a7b36ecd775,CUST-000545,2024-01-01,2024-09-22,Credit Inquiry,Resolved
800000000177,12745eba-a357-4720-aa25-62375731c8b2,CUST-000375,2024-11-06,2025-04-30,Dark Web Monitoring,Resolved
800000000178,b4af1717-793e-46a9-9c80-c51179278d3b,CUST-000216,2024-09-18,2024-12-04,Credit Inquiry,Resolved
800000000179,bcc4a6c8-10aa-4fee-8bae-64d4d2514d7a,CUST-000801,2024-07-10,2024-11-18,Credit Inquiry,Pending
800000000180,1167de17-da3b-4691-8d4b-6e0dfa54a115,CUST-000944,2024-06-08,2025-01-23,Dark Web Monitoring,Pending
800000000181,62b56deb-9a75-4761-9474-974170400152,CUST-000979,2024-04-04,2025-03-11,Dark Web Monitoring,Pending
800000000182,22250083-ac0f-49ba-86c2-cecd73dad746,CUST-000088,2024-01-09,2025-01-29,Dark Web Monitoring,Resolved
800000000183,4a39ba72-d63b-4c78-a0b2-a911c6d4cf0d,CUST-000134,2024-05-07,2024-05-21,Dark Web Monitoring,Pending
800000000184,480fa709-28ab-47dc-a282-c322739dfc31,CUST-000528,2024-12-23,2025-02-16,Dark Web Monitoring,Acknowledged
800000000185,2d497c9b-5f39-487c-b165-d1107c8ea2e2,CUST-000877,2024-08-08,2024-09-26,Dark Web Monitoring,Resolved
800000000186,e35e2b40-b913-4cbc-8892-41b0c7fbf6e4,CUST-000331,2024-08-28,2024-11-21,Dark Web Monitoring,Resolved
800000000187,080bc1dd-cb41-4574-88b4-669ffd1930c4,CUST-000528,2024-12-23,2025-06-24,Dark Web Monitoring,Resolved
800000000188,22a1e2fb-5d74-47fc-9509-e2c435bb1d79,CUST-000360,2024-06-19,2024-09-23,Dark Web Monitoring,Resolved
800000000189,6d5213c3-eecc-45d5-bdc8-5a2be9b6f312,CUST-000133,2024-05-24,2024-09-19,Dark Web Monitoring,Resolved
800000000190,6c7a49d6-6891-4b69-b75b-88ce2ab5bc5a,CUST-000422,2024-07-31,2024-11-06,Data Breach,Acknowledged
800000000191,34486daa-4a66-4610-be36-b729b2c665e0,CUST-000573,2024-07-03,2024-07-12,Dark Web Monitoring,Pending
800000000192,731a80f7-1758-4911-9677-ce344b215581,CUST-000481,2024-05-19,2024-07-30,Data Breach,Acknowledged
800000000193,0ff4674e-7594-4e75-aa83-7e915f65dd2e,CUST-000950,2024-04-13,2024-10-29,Credit Inquiry,Pending
800000000194,fc05fe01-6c3e-4c8b-a3fa-6d93d1b6e914,CUST-000806,2024-12-27,2025-04-26,Dark Web Monitoring,Acknowledged
800000000195,5d2bd7e0-b3f0-4464-8a44-8efc0799e087,CUST-000559,2024-09-14,2025-03-15,Dark Web Monitoring,Acknowledged
800000000196,7b4bcbda-ebde-4c38-a38a-1fc0849123b0,CUST-000806,2024-12-27,2025-03-11,Dark Web Monitoring,Pending
800000000197,88b6645b-0a8a-475a-8acf-07ccd165bd50,CUST-000994,2024-10-01,2025-01-15,Data Breach,Pending
800000000198,a0d0575c-ae92-4023-8f64-87172928353a,CUST-000403,2024-01-07,2024-02-21,Dark Web Monitoring,Acknowledged
800000000199,2767c6c7-15b2-4bdf-a9e7-47c9563b98f5,CUST-000476,2024-07-17,2025-06-07,Credit Inquiry,Pending
800000000200,d31b8678-d0be-4808-92ee-a48941b4e037,CUST-000950,2024-04-13,2025-03-04,Credit Inquiry,Resolved
800000000201,171d1a43-1f5e-429c-8c51-6c29c59bc367,CUST-000115,2024-11-11,2025-06-18,Dark Web Monitoring,Resolved
800000000202,019bb2d6-1516-4bf8-880a-a9619c9ea9c8,CUST-000871,2024-07-16,2024-10-24,Dark Web Monitoring,Acknowledged
800000000203,dcb29385-444e-47e6-a623-d7bb84766ebd,CUST-000332,2024-12-30,2025-05-25,Dark Web Monitoring,Acknowledged
800000000204,54b4c9e1-5f86-477f-b62c-8349fd88ead4,CUST-000381,2024-08-13,2025-02-10,Dark Web Monitoring,Resolved
